date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:33:04	21799/21799	---M--	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202024%2017:33:02%20GMT	https://siceuc.ucol.mx/	C:/Mis%20lugares%20Web/siseuc/siceuc.ucol.mx/index.html	(from )
11:33:04	1282/1282	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Apr%202024%2017:33:02%20GMT	https://siceuc.ucol.mx/robots.txt		(from )
11:33:04	60260/60260	---M-Z	200	added ('OK')	text/css	etag:%22041b88696bdcf1:0%22	https://siceuc.ucol.mx/css/bootstrap.css	C:/Mis%20lugares%20Web/siseuc/siceuc.ucol.mx/css/bootstrap.css	(from https://siceuc.ucol.mx/)
11:33:05	86659/86659	---M-Z	200	added ('OK')	application/javascript	etag:%2280c8b6efd632d31:0%22	https://siceuc.ucol.mx/js/jquery.min.js	C:/Mis%20lugares%20Web/siseuc/siceuc.ucol.mx/js/jquery.min.js	(from https://siceuc.ucol.mx/)
11:33:05	42173/42173	---M-Z	200	added ('OK')	text/css	etag:%2280d9d8eecbc3cf1:0%22	https://siceuc.ucol.mx/css/style.css	C:/Mis%20lugares%20Web/siseuc/siceuc.ucol.mx/css/style.css	(from https://siceuc.ucol.mx/)
11:33:05	69707/69707	---M-Z	200	added ('OK')	application/javascript	etag:%220d4e98b6e6d11:0%22	https://siceuc.ucol.mx/js/bootstrap.js	C:/Mis%20lugares%20Web/siseuc/siceuc.ucol.mx/js/bootstrap.js	(from https://siceuc.ucol.mx/)
11:33:05	9329/9329	---M--	200	added ('OK')	image/png	etag:%2206ee98796bdcf1:0%22	https://siceuc.ucol.mx/img/logo.png	C:/Mis%20lugares%20Web/siseuc/siceuc.ucol.mx/img/logo.png	(from https://siceuc.ucol.mx/)
11:33:06	11959/11959	---M-Z	200	added ('OK')	application/javascript	etag:%220d35a2b221d71:0%22	https://siceuc.ucol.mx/md5.js	C:/Mis%20lugares%20Web/siseuc/siceuc.ucol.mx/md5.js	(from https://siceuc.ucol.mx/)
11:33:06	12213/12213	---M--	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202024%2017:33:04%20GMT	https://siceuc.ucol.mx/evaluaciones.asp	C:/Mis%20lugares%20Web/siseuc/siceuc.ucol.mx/evaluaciones.html	(from https://siceuc.ucol.mx/)
11:33:06	149/149	---M--	302	error ('Object%20moved')	text/html	date:Tue,%2030%20Apr%202024%2017:33:04%20GMT	https://siceuc.ucol.mx/ssocial.asp	C:/Mis%20lugares%20Web/siseuc/siceuc.ucol.mx/ssocial.7.delayed	(from https://siceuc.ucol.mx/)
11:33:07	118/118	---M--	200	added ('OK')	image/gif	etag:%220663ab96070c41:0%22	https://siceuc.ucol.mx/img/lineatabla.gif	C:/Mis%20lugares%20Web/siseuc/siceuc.ucol.mx/img/lineatabla.gif	(from https://siceuc.ucol.mx/)
11:33:07	80860/80860	---M--	200	added ('OK')	image/jpeg	etag:%225b9c8fcb11ad81:0%22	https://siceuc.ucol.mx/img/AppImage.jpeg	C:/Mis%20lugares%20Web/siseuc/siceuc.ucol.mx/img/AppImage.jpg	(from https://siceuc.ucol.mx/)
11:33:07	1282/1282	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Apr%202024%2017:33:05%20GMT	https://siceuc.ucol.mx/conocenos/contacto.htm	C:/Mis%20lugares%20Web/siseuc/siceuc.ucol.mx/conocenos/contacto.a.delayed	(from https://siceuc.ucol.mx/)
11:33:07	1282/1282	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Apr%202024%2017:33:05%20GMT	https://siceuc.ucol.mx/conocenos/rendicion-cuentas.htm	C:/Mis%20lugares%20Web/siseuc/siceuc.ucol.mx/conocenos/rendicion-cuentas.b.delayed	(from https://siceuc.ucol.mx/)
11:33:08	1282/1282	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Apr%202024%2017:33:05%20GMT	https://siceuc.ucol.mx/conocenos/mapa.htm	C:/Mis%20lugares%20Web/siseuc/siceuc.ucol.mx/conocenos/mapa.c.delayed	(from https://siceuc.ucol.mx/)
11:33:08	2292/2292	---M--	200	added ('OK')	image/png	etag:%22041b88696bdcf1:0%22	https://siceuc.ucol.mx/img/anuies.png	C:/Mis%20lugares%20Web/siseuc/siceuc.ucol.mx/img/anuies.png	(from https://siceuc.ucol.mx/)
11:33:08	2162/2162	---M--	200	added ('OK')	image/png	etag:%2209b1a8996bdcf1:0%22	https://siceuc.ucol.mx/img/unesco.png	C:/Mis%20lugares%20Web/siseuc/siceuc.ucol.mx/img/unesco.png	(from https://siceuc.ucol.mx/)
11:33:09	4160/4160	---M--	200	added ('OK')	image/png	etag:%22041b88696bdcf1:0%22	https://siceuc.ucol.mx/img/consorcio.png	C:/Mis%20lugares%20Web/siseuc/siceuc.ucol.mx/img/consorcio.png	(from https://siceuc.ucol.mx/)
11:33:09	2616/2616	---M--	200	added ('OK')	image/png	etag:%22041b88696bdcf1:0%22	https://siceuc.ucol.mx/img/contraloria.png	C:/Mis%20lugares%20Web/siseuc/siceuc.ucol.mx/img/contraloria.png	(from https://siceuc.ucol.mx/)
11:33:09	1922/1922	---M--	200	added ('OK')	image/png	etag:%2209b1a8996bdcf1:0%22	https://siceuc.ucol.mx/img/transparencia.png	C:/Mis%20lugares%20Web/siseuc/siceuc.ucol.mx/img/transparencia.png	(from https://siceuc.ucol.mx/)
11:33:09	6522/6522	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22041b88696bdcf1:0%22	https://siceuc.ucol.mx/css/websymbols/websymbols-regular-webfont.eot	C:/Mis%20lugares%20Web/siseuc/siceuc.ucol.mx/css/websymbols/websymbols-regular-webfont.eot	(from https://siceuc.ucol.mx/css/style.css)
11:33:10	6522/6522	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22041b88696bdcf1:0%22	https://siceuc.ucol.mx/css/websymbols/websymbols-regular-webfont.eot?	C:/Mis%20lugares%20Web/siseuc/siceuc.ucol.mx/css/websymbols/websymbols-regular-webfontd41d.eot	(from https://siceuc.ucol.mx/css/style.css)
11:33:10	7696/7696	---M--	200	added ('OK')	font/x-woff	etag:%22041b88696bdcf1:0%22	https://siceuc.ucol.mx/css/websymbols/websymbols-regular-webfont.woff	C:/Mis%20lugares%20Web/siseuc/siceuc.ucol.mx/css/websymbols/websymbols-regular-webfont.woff	(from https://siceuc.ucol.mx/css/style.css)
11:33:10	12144/12144	---M--	200	added ('OK')	application/octet-stream	etag:%22041b88696bdcf1:0%22	https://siceuc.ucol.mx/css/websymbols/websymbols-regular-webfont.ttf	C:/Mis%20lugares%20Web/siseuc/siceuc.ucol.mx/css/websymbols/websymbols-regular-webfont.ttf	(from https://siceuc.ucol.mx/css/style.css)
11:33:11	26739/26739	---M--	200	added ('OK')	image/svg+xml	etag:%22041b88696bdcf1:0%22	https://siceuc.ucol.mx/css/websymbols/websymbols-regular-webfont.svg	C:/Mis%20lugares%20Web/siseuc/siceuc.ucol.mx/css/websymbols/websymbols-regular-webfont.svg	(from https://siceuc.ucol.mx/css/style.css)
11:33:11	1438/1438	---M--	200	added ('OK')	image/png	etag:%2206ee98796bdcf1:0%22	https://siceuc.ucol.mx/img/header-bg.png	C:/Mis%20lugares%20Web/siseuc/siceuc.ucol.mx/img/header-bg.png	(from https://siceuc.ucol.mx/css/style.css)
11:33:11	2211/2211	---M--	200	added ('OK')	image/png	etag:%2206ee98796bdcf1:0%22	https://siceuc.ucol.mx/img/header-shadow.png	C:/Mis%20lugares%20Web/siseuc/siceuc.ucol.mx/img/header-shadow.png	(from https://siceuc.ucol.mx/css/style.css)
11:33:12	948/948	---M--	200	added ('OK')	image/png	etag:%2206ee98796bdcf1:0%22	https://siceuc.ucol.mx/img/menu-sep.png	C:/Mis%20lugares%20Web/siseuc/siceuc.ucol.mx/img/menu-sep.png	(from https://siceuc.ucol.mx/css/style.css)
11:33:12	1050/1050	---M--	200	added ('OK')	image/png	etag:%2206ee98796bdcf1:0%22	https://siceuc.ucol.mx/img/nav-act.png	C:/Mis%20lugares%20Web/siseuc/siceuc.ucol.mx/img/nav-act.png	(from https://siceuc.ucol.mx/css/style.css)
11:33:12	943/943	---M--	200	added ('OK')	image/png	etag:%2206ee98796bdcf1:0%22	https://siceuc.ucol.mx/img/nav-dd.png	C:/Mis%20lugares%20Web/siseuc/siceuc.ucol.mx/img/nav-dd.png	(from https://siceuc.ucol.mx/css/style.css)
11:33:12	1104/1104	---M--	200	added ('OK')	image/png	etag:%2209b1a8996bdcf1:0%22	https://siceuc.ucol.mx/img/titulo_overlay.png	C:/Mis%20lugares%20Web/siseuc/siceuc.ucol.mx/img/titulo_overlay.png	(from https://siceuc.ucol.mx/css/style.css)
11:33:13	1588/1588	---M--	200	added ('OK')	image/png	etag:%22041b88696bdcf1:0%22	https://siceuc.ucol.mx/img/bgtitulos.png	C:/Mis%20lugares%20Web/siseuc/siceuc.ucol.mx/img/bgtitulos.png	(from https://siceuc.ucol.mx/css/style.css)
11:33:13	927/927	---M--	200	added ('OK')	image/png	etag:%2206ee98796bdcf1:0%22	https://siceuc.ucol.mx/img/lineaverde.png	C:/Mis%20lugares%20Web/siseuc/siceuc.ucol.mx/img/lineaverde.png	(from https://siceuc.ucol.mx/css/style.css)
11:33:13	2309/2309	---M--	200	added ('OK')	image/png	etag:%22041b88696bdcf1:0%22	https://siceuc.ucol.mx/img/carousel-control.png	C:/Mis%20lugares%20Web/siseuc/siceuc.ucol.mx/img/carousel-control.png	(from https://siceuc.ucol.mx/css/style.css)
11:33:13	2866/2866	---M--	200	added ('OK')	image/png	etag:%2209b1a8996bdcf1:0%22	https://siceuc.ucol.mx/img/social-profiles.png	C:/Mis%20lugares%20Web/siseuc/siceuc.ucol.mx/img/social-profiles.png	(from https://siceuc.ucol.mx/css/style.css)
11:33:14	2833/2833	---M--	200	added ('OK')	image/png	etag:%2206ee98796bdcf1:0%22	https://siceuc.ucol.mx/img/footer-shadow.png	C:/Mis%20lugares%20Web/siseuc/siceuc.ucol.mx/img/footer-shadow.png	(from https://siceuc.ucol.mx/css/style.css)
11:33:14	1282/1282	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Apr%202024%2017:33:12%20GMT	https://siceuc.ucol.mx/img/widget-title.png	C:/Mis%20lugares%20Web/siseuc/siceuc.ucol.mx/img/widget-title.22.delayed	(from https://siceuc.ucol.mx/css/style.css)
11:33:14	1282/1282	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Apr%202024%2017:33:12%20GMT	https://siceuc.ucol.mx/img/titulosFooter.png	C:/Mis%20lugares%20Web/siseuc/siceuc.ucol.mx/img/titulosFooter.23.delayed	(from https://siceuc.ucol.mx/css/style.css)
11:33:15	1585/1585	---M--	200	added ('OK')	image/png	etag:%2206ee98796bdcf1:0%22	https://siceuc.ucol.mx/img/icons.png	C:/Mis%20lugares%20Web/siseuc/siceuc.ucol.mx/img/icons.png	(from https://siceuc.ucol.mx/css/style.css)
11:33:15	1202/1202	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2030%20Apr%202024%2017:33:13%20GMT	https://siceuc.ucol.mx/reinscripciones.asp	C:/Mis%20lugares%20Web/siseuc/siceuc.ucol.mx/reinscripciones.25.delayed	(from https://siceuc.ucol.mx/evaluaciones.asp)
11:33:15	0/-1	---M--	302	error ('')			https://siceuc.ucol.mx/ssocial.asp	C:/Mis%20lugares%20Web/siseuc/siceuc.ucol.mx/ssocial.26.delayed	(from https://siceuc.ucol.mx/evaluaciones.asp)
11:33:15	21799/21799	---M--	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202024%2017:33:13%20GMT	https://siceuc.ucol.mx/index.asp	C:/Mis%20lugares%20Web/siseuc/siceuc.ucol.mx/index-2.html	(from https://siceuc.ucol.mx/evaluaciones.asp)
11:33:16	0/-1	---M--	302	error ('')			https://siceuc.ucol.mx/ssocial.asp	C:/Mis%20lugares%20Web/siseuc/siceuc.ucol.mx/ssocial.28.delayed	(from https://siceuc.ucol.mx/index.asp)
